"method"	"path"	"declaring_service"	"source_file"	"annotation_line"	"signature_end_line"	"classification"	"confidence"
"POST"	"v4/inbox"	"com.grindrapp.android.chat.data.datasource.api.service.ChatRestService"	"sources/com/grindrapp/android/chat/data/datasource/api/service/ChatRestService.java"	"62"	"63"	"first-party/Grindr"	"high"
"GET"	"/v5/chat/conversation/{conversationId}/message"	"com.grindrapp.android.chat.data.datasource.api.service.ChatRestService"	"sources/com/grindrapp/android/chat/data/datasource/api/service/ChatRestService.java"	"65"	"66"	"first-party/Grindr"	"high"
"GET"	"v5/chat/media/shared/images/with-me/{conversationId}"	"com.grindrapp.android.chat.data.datasource.api.service.ChatRestService"	"sources/com/grindrapp/android/chat/data/datasource/api/service/ChatRestService.java"	"68"	"69"	"first-party/Grindr"	"high"
"POST"	"v4/phrases/frequency/{id}"	"com.grindrapp.android.chat.data.datasource.api.service.ChatRestService"	"sources/com/grindrapp/android/chat/data/datasource/api/service/ChatRestService.java"	"71"	"72"	"first-party/Grindr"	"high"
"POST"	"v4/chat/conversation/{conversationId}/read/{messageId}"	"com.grindrapp.android.chat.data.datasource.api.service.ChatRestService"	"sources/com/grindrapp/android/chat/data/datasource/api/service/ChatRestService.java"	"74"	"75"	"first-party/Grindr"	"high"
"POST"	"v1/push/conversation/{conversationId}/mute"	"com.grindrapp.android.chat.data.datasource.api.service.ChatRestService"	"sources/com/grindrapp/android/chat/data/datasource/api/service/ChatRestService.java"	"77"	"78"	"first-party/Grindr"	"high"
"POST"	"/v4/pics/expiring"	"com.grindrapp.android.chat.data.datasource.api.service.ChatRestService"	"sources/com/grindrapp/android/chat/data/datasource/api/service/ChatRestService.java"	"80"	"81"	"first-party/Grindr"	"high"
"POST"	"v4/chat/conversation/{conversationId}/pin"	"com.grindrapp.android.chat.data.datasource.api.service.ChatRestService"	"sources/com/grindrapp/android/chat/data/datasource/api/service/ChatRestService.java"	"83"	"84"	"first-party/Grindr"	"high"
"GET"	"/v4/videos/expiring/status"	"com.grindrapp.android.chat.data.datasource.api.service.ChatRestService"	"sources/com/grindrapp/android/chat/data/datasource/api/service/ChatRestService.java"	"86"	"87"	"first-party/Grindr"	"high"
"POST"	"v4/chat/message/reaction"	"com.grindrapp.android.chat.data.datasource.api.service.ChatRestService"	"sources/com/grindrapp/android/chat/data/datasource/api/service/ChatRestService.java"	"89"	"90"	"first-party/Grindr"	"high"
"POST"	"/v4/chat/conversation/{conversationId}/message-by-id"	"com.grindrapp.android.chat.data.datasource.api.service.ChatRestService"	"sources/com/grindrapp/android/chat/data/datasource/api/service/ChatRestService.java"	"92"	"93"	"first-party/Grindr"	"high"
"GET"	"/v4/chat/conversation/{conversationId}/message/{messageId}"	"com.grindrapp.android.chat.data.datasource.api.service.ChatRestService"	"sources/com/grindrapp/android/chat/data/datasource/api/service/ChatRestService.java"	"95"	"96"	"first-party/Grindr"	"high"
"POST"	"v1/inbox/conversation"	"com.grindrapp.android.chat.data.datasource.api.service.ChatRestService"	"sources/com/grindrapp/android/chat/data/datasource/api/service/ChatRestService.java"	"98"	"99"	"first-party/Grindr"	"high"
"POST"	"v4/chat/message/send"	"com.grindrapp.android.chat.data.datasource.api.service.ChatRestService"	"sources/com/grindrapp/android/chat/data/datasource/api/service/ChatRestService.java"	"101"	"102"	"first-party/Grindr"	"high"
"POST"	"v4/chatstatus/typing"	"com.grindrapp.android.chat.data.datasource.api.service.ChatRestService"	"sources/com/grindrapp/android/chat/data/datasource/api/service/ChatRestService.java"	"104"	"105"	"first-party/Grindr"	"high"
"POST"	"v5/chat/translate"	"com.grindrapp.android.chat.data.datasource.api.service.ChatRestService"	"sources/com/grindrapp/android/chat/data/datasource/api/service/ChatRestService.java"	"107"	"108"	"first-party/Grindr"	"high"
"GET"	"/v1/pics/limited/status"	"com.grindrapp.android.chat.data.datasource.api.service.ChatRestService"	"sources/com/grindrapp/android/chat/data/datasource/api/service/ChatRestService.java"	"110"	"111"	"first-party/Grindr"	"high"
"POST"	"v1/push/conversation/{conversationId}/unmute"	"com.grindrapp.android.chat.data.datasource.api.service.ChatRestService"	"sources/com/grindrapp/android/chat/data/datasource/api/service/ChatRestService.java"	"113"	"114"	"first-party/Grindr"	"high"
"POST"	"v4/chat/conversation/{conversationId}/unpin"	"com.grindrapp.android.chat.data.datasource.api.service.ChatRestService"	"sources/com/grindrapp/android/chat/data/datasource/api/service/ChatRestService.java"	"116"	"117"	"first-party/Grindr"	"high"
"POST"	"v4/chat/message/unsend"	"com.grindrapp.android.chat.data.datasource.api.service.ChatRestService"	"sources/com/grindrapp/android/chat/data/datasource/api/service/ChatRestService.java"	"119"	"120"	"first-party/Grindr"	"high"
"POST"	"/v5/recognition/chat"	"com.grindrapp.android.chat.data.datasource.api.service.ChatRestService"	"sources/com/grindrapp/android/chat/data/datasource/api/service/ChatRestService.java"	"122"	"123"	"first-party/Grindr"	"high"
"GET"	"grindr/chat/gaymoji"	"com.grindrapp.android.chat.data.datasource.api.service.GaymojiService"	"sources/com/grindrapp/android/chat/data/datasource/api/service/GaymojiService.java"	"13"	"14"	"first-party/Grindr"	"high"
"GET"	"v1/gifs/trending?limit=50&rating=r"	"com.grindrapp.android.chat.data.datasource.api.service.GiphyService"	"sources/com/grindrapp/android/chat/data/datasource/api/service/GiphyService.java"	"16"	"17"	"third-party"	"high"
"GET"	"v1/gifs/search?limit=50&rating=r"	"com.grindrapp.android.chat.data.datasource.api.service.GiphyService"	"sources/com/grindrapp/android/chat/data/datasource/api/service/GiphyService.java"	"19"	"20"	"third-party"	"high"
"POST"	"/v1/video-call"	"com.grindrapp.android.chat.videocall.api.VideoCallRestService"	"sources/com/grindrapp/android/chat/videocall/api/VideoCallRestService.java"	"23"	"24"	"first-party/Grindr"	"high"
"PATCH"	"/v1/video-call/join"	"com.grindrapp.android.chat.videocall.api.VideoCallRestService"	"sources/com/grindrapp/android/chat/videocall/api/VideoCallRestService.java"	"26"	"27"	"first-party/Grindr"	"high"
"PATCH"	"/v1/video-call/leave"	"com.grindrapp.android.chat.videocall.api.VideoCallRestService"	"sources/com/grindrapp/android/chat/videocall/api/VideoCallRestService.java"	"29"	"30"	"first-party/Grindr"	"high"
"PATCH"	"/v1/video-call"	"com.grindrapp.android.chat.videocall.api.VideoCallRestService"	"sources/com/grindrapp/android/chat/videocall/api/VideoCallRestService.java"	"32"	"33"	"first-party/Grindr"	"high"
"GET"	"/v3/video-call"	"com.grindrapp.android.chat.videocall.api.VideoCallRestService"	"sources/com/grindrapp/android/chat/videocall/api/VideoCallRestService.java"	"35"	"36"	"first-party/Grindr"	"high"
"POST"	"/v1/chat/phrases"	"com.grindrapp.android.chatSuggestions.data.datasource.api.service.ChatSuggestionsRestService"	"sources/com/grindrapp/android/chatSuggestions/data/datasource/api/service/ChatSuggestionsRestService.java"	"19"	"20"	"first-party/Grindr"	"high"
"GET"	"/v1/chat/phrases"	"com.grindrapp.android.chatSuggestions.data.datasource.api.service.ChatSuggestionsRestService"	"sources/com/grindrapp/android/chatSuggestions/data/datasource/api/service/ChatSuggestionsRestService.java"	"22"	"23"	"first-party/Grindr"	"high"
"GET"	"/v1/chat/suggestions"	"com.grindrapp.android.chatSuggestions.data.datasource.api.service.ChatSuggestionsRestService"	"sources/com/grindrapp/android/chatSuggestions/data/datasource/api/service/ChatSuggestionsRestService.java"	"25"	"26"	"first-party/Grindr"	"high"
"POST"	"web/v3/consent/grindr/get"	"com.grindrapp.android.cmp.data.datasource.api.service.KetchConsentService"	"sources/com/grindrapp/android/cmp/data/datasource/api/service/KetchConsentService.java"	"15"	"16"	"third-party"	"high"
"POST"	"v3.1/store/grindrstore/coupons"	"com.grindrapp.android.coupons.data.service.CouponsApiService"	"sources/com/grindrapp/android/coupons/data/service/CouponsApiService.java"	"15"	"16"	"first-party/Grindr"	"high"
"POST"	"v1/handoff-token"	"com.grindrapp.android.crescendo.data.remote.api.CrescendoApiService"	"sources/com/grindrapp/android/crescendo/data/remote/api/CrescendoApiService.java"	"13"	"14"	"first-party/Grindr"	"high"
"POST"	"/v1/verification/device-keys/challenge"	"com.grindrapp.android.devicesigning.data.datasource.api.service.DeviceSigningService"	"sources/com/grindrapp/android/devicesigning/data/datasource/api/service/DeviceSigningService.java"	"16"	"17"	"first-party/Grindr"	"high"
"POST"	"/v1/verification/device-keys"	"com.grindrapp.android.devicesigning.data.datasource.api.service.DeviceSigningService"	"sources/com/grindrapp/android/devicesigning/data/datasource/api/service/DeviceSigningService.java"	"19"	"20"	"first-party/Grindr"	"high"
"GET"	"v4/discover"	"com.grindrapp.android.discover.data.api.DiscoverService"	"sources/com/grindrapp/android/discover/data/api/DiscoverService.java"	"20"	"21"	"first-party/Grindr"	"high"
"POST"	"v1/me/pass/{profileId}"	"com.grindrapp.android.discover.data.api.DiscoverService"	"sources/com/grindrapp/android/discover/data/api/DiscoverService.java"	"23"	"24"	"first-party/Grindr"	"high"
"PUT"	"v1/discover/preferences"	"com.grindrapp.android.discover.data.api.DiscoverService"	"sources/com/grindrapp/android/discover/data/api/DiscoverService.java"	"26"	"27"	"first-party/Grindr"	"high"
"POST"	"v1/explore_heatmaps"	"com.grindrapp.android.explore.impl.heatmaps.data.api.ExploreService"	"sources/com/grindrapp/android/explore/impl/heatmaps/data/api/ExploreService.java"	"16"	"17"	"first-party/Grindr"	"high"
"GET"	"v1/explore_heatmaps/all_locations"	"com.grindrapp.android.explore.impl.heatmaps.data.api.ExploreService"	"sources/com/grindrapp/android/explore/impl/heatmaps/data/api/ExploreService.java"	"19"	"20"	"first-party/Grindr"	"high"
"POST"	"v6/profiles/travel"	"com.grindrapp.android.explore.impl.itinerary.data.api.TravelPlanRestService"	"sources/com/grindrapp/android/explore/impl/itinerary/data/api/TravelPlanRestService.java"	"22"	"23"	"first-party/Grindr"	"high"
"DELETE"	"v6/profiles/travel/{travelPlanId}"	"com.grindrapp.android.explore.impl.itinerary.data.api.TravelPlanRestService"	"sources/com/grindrapp/android/explore/impl/itinerary/data/api/TravelPlanRestService.java"	"25"	"26"	"first-party/Grindr"	"high"
"GET"	"/v3/places/search"	"com.grindrapp.android.explore.impl.itinerary.data.api.TravelPlanRestService"	"sources/com/grindrapp/android/explore/impl/itinerary/data/api/TravelPlanRestService.java"	"28"	"29"	"first-party/Grindr"	"high"
"GET"	"v6/profiles/travel/{profileId}"	"com.grindrapp.android.explore.impl.itinerary.data.api.TravelPlanRestService"	"sources/com/grindrapp/android/explore/impl/itinerary/data/api/TravelPlanRestService.java"	"31"	"32"	"first-party/Grindr"	"high"
"POST"	"v6/profiles/travel/update"	"com.grindrapp.android.explore.impl.itinerary.data.api.TravelPlanRestService"	"sources/com/grindrapp/android/explore/impl/itinerary/data/api/TravelPlanRestService.java"	"34"	"35"	"first-party/Grindr"	"high"
"GET"	"v1/social-events/{socialEventId}"	"com.grindrapp.android.feature.events.data.api.EventsService"	"sources/com/grindrapp/android/feature/events/data/api/EventsService.java"	"20"	"21"	"first-party/Grindr"	"high"
"GET"	"v1/social-events"	"com.grindrapp.android.feature.events.data.api.EventsService"	"sources/com/grindrapp/android/feature/events/data/api/EventsService.java"	"23"	"24"	"first-party/Grindr"	"high"
"POST"	"v1/social-events/{socialEventId}/attendees"	"com.grindrapp.android.feature.events.data.api.EventsService"	"sources/com/grindrapp/android/feature/events/data/api/EventsService.java"	"26"	"27"	"first-party/Grindr"	"high"
"DELETE"	"v1/social-events/{socialEventId}/attendees"	"com.grindrapp.android.feature.events.data.api.EventsService"	"sources/com/grindrapp/android/feature/events/data/api/EventsService.java"	"29"	"30"	"first-party/Grindr"	"high"
"GET"	"v2/health/placement"	"com.grindrapp.android.feature.healthcenter.woodwork.data.service.WoodworkService"	"sources/com/grindrapp/android/feature/healthcenter/woodwork/data/service/WoodworkService.java"	"14"	"15"	"first-party/Grindr"	"high"
"POST"	"public/v1/notifications/ack"	"com.grindrapp.android.feature.notifications.data.datasource.api.service.NotificationService"	"sources/com/grindrapp/android/feature/notifications/data/datasource/api/service/NotificationService.java"	"15"	"16"	"first-party/Grindr"	"high"
"POST"	"api/token"	"com.grindrapp.android.feature.profile.data.api.spotify.SpotifyAuthRestService"	"sources/com/grindrapp/android/feature/profile/data/api/spotify/SpotifyAuthRestService.java"	"17"	"18"	"third-party"	"high"
"POST"	"api/token"	"com.grindrapp.android.feature.profile.data.api.spotify.SpotifyAuthRestService"	"sources/com/grindrapp/android/feature/profile/data/api/spotify/SpotifyAuthRestService.java"	"21"	"22"	"third-party"	"high"
"POST"	"api/token"	"com.grindrapp.android.feature.profile.data.api.spotify.SpotifyAuthRestService"	"sources/com/grindrapp/android/feature/profile/data/api/spotify/SpotifyAuthRestService.java"	"25"	"26"	"third-party"	"high"
"GET"	"/v4/spotify/favorites/{profileId}"	"com.grindrapp.android.feature.profile.data.api.spotify.SpotifyGrindrRestService"	"sources/com/grindrapp/android/feature/profile/data/api/spotify/SpotifyGrindrRestService.java"	"18"	"19"	"first-party/Grindr"	"high"
"POST"	"/v4/spotify/favorites"	"com.grindrapp.android.feature.profile.data.api.spotify.SpotifyGrindrRestService"	"sources/com/grindrapp/android/feature/profile/data/api/spotify/SpotifyGrindrRestService.java"	"21"	"22"	"first-party/Grindr"	"high"
"GET"	"v1/me/player/recently-played"	"com.grindrapp.android.feature.profile.data.api.spotify.SpotifyRestService"	"sources/com/grindrapp/android/feature/profile/data/api/spotify/SpotifyRestService.java"	"19"	"20"	"third-party"	"high"
"GET"	"v1/tracks"	"com.grindrapp.android.feature.profile.data.api.spotify.SpotifyRestService"	"sources/com/grindrapp/android/feature/profile/data/api/spotify/SpotifyRestService.java"	"22"	"23"	"third-party"	"high"
"GET"	"v1/search"	"com.grindrapp.android.feature.profile.data.api.spotify.SpotifyRestService"	"sources/com/grindrapp/android/feature/profile/data/api/spotify/SpotifyRestService.java"	"25"	"26"	"third-party"	"high"
"GET"	"v1/genders"	"com.grindrapp.android.feature.profile.data.datasource.api.GenderRestService"	"sources/com/grindrapp/android/feature/profile/data/datasource/api/GenderRestService.java"	"19"	"20"	"first-party/Grindr"	"high"
"GET"	"public/v2/genders"	"com.grindrapp.android.feature.profile.data.datasource.api.GenderRestService"	"sources/com/grindrapp/android/feature/profile/data/datasource/api/GenderRestService.java"	"22"	"23"	"first-party/Grindr"	"high"
"GET"	"v1/pronouns"	"com.grindrapp.android.feature.profile.data.datasource.api.GenderRestService"	"sources/com/grindrapp/android/feature/profile/data/datasource/api/GenderRestService.java"	"25"	"26"	"first-party/Grindr"	"high"
"PUT"	"v4/genderpronoun/suggestions"	"com.grindrapp.android.feature.profile.data.datasource.api.GenderRestService"	"sources/com/grindrapp/android/feature/profile/data/datasource/api/GenderRestService.java"	"28"	"29"	"first-party/Grindr"	"high"
"GET"	"public/v1/genders"	"com.grindrapp.android.feature.profile.data.datasource.api.UnAuthGenderRestService"	"sources/com/grindrapp/android/feature/profile/data/datasource/api/UnAuthGenderRestService.java"	"16"	"17"	"first-party/Grindr"	"high"
"GET"	"/v1/tags"	"com.grindrapp.android.feature.tags.data.TagCatalogApiService"	"sources/com/grindrapp/android/feature/tags/data/TagCatalogApiService.java"	"14"	"15"	"first-party/Grindr"	"high"
"GET"	"v1/seasonal-events"	"com.grindrapp.android.icon.seasonal.data.remote.SeasonalIconApiService"	"sources/com/grindrapp/android/icon/seasonal/data/remote/SeasonalIconApiService.java"	"13"	"14"	"first-party/Grindr"	"high"
"GET"	"/v2/profile-insights/{profileId}"	"com.grindrapp.android.insights.data.api.ProfileInsightsService"	"sources/com/grindrapp/android/insights/data/api/ProfileInsightsService.java"	"15"	"16"	"first-party/Grindr"	"high"
"GET"	"/v3/profile-insights/me/settings"	"com.grindrapp.android.insights.data.api.ProfileInsightsService"	"sources/com/grindrapp/android/insights/data/api/ProfileInsightsService.java"	"18"	"19"	"first-party/Grindr"	"high"
"GET"	"/v3/profile-insights/{profileId}"	"com.grindrapp.android.insights.data.api.ProfileInsightsService"	"sources/com/grindrapp/android/insights/data/api/ProfileInsightsService.java"	"21"	"22"	"first-party/Grindr"	"high"
"POST"	"/v1/opt-out"	"com.grindrapp.android.legalcompliance.consent.data.datasource.remote.api.ConsentAgreementApiService"	"sources/com/grindrapp/android/legalcompliance/consent/data/datasource/remote/api/ConsentAgreementApiService.java"	"20"	"21"	"first-party/Grindr"	"high"
"POST"	"/v1/opt-in"	"com.grindrapp.android.legalcompliance.consent.data.datasource.remote.api.ConsentAgreementApiService"	"sources/com/grindrapp/android/legalcompliance/consent/data/datasource/remote/api/ConsentAgreementApiService.java"	"23"	"24"	"first-party/Grindr"	"high"
"DELETE"	"/v1/opt-out"	"com.grindrapp.android.legalcompliance.consent.data.datasource.remote.api.ConsentAgreementApiService"	"sources/com/grindrapp/android/legalcompliance/consent/data/datasource/remote/api/ConsentAgreementApiService.java"	"26"	"27"	"first-party/Grindr"	"high"
"PUT"	"/v1/opt-in"	"com.grindrapp.android.legalcompliance.consent.data.datasource.remote.api.ConsentAgreementApiService"	"sources/com/grindrapp/android/legalcompliance/consent/data/datasource/remote/api/ConsentAgreementApiService.java"	"29"	"30"	"first-party/Grindr"	"high"
"PUT"	"/v1/opt-out"	"com.grindrapp.android.legalcompliance.consent.data.datasource.remote.api.ConsentAgreementApiService"	"sources/com/grindrapp/android/legalcompliance/consent/data/datasource/remote/api/ConsentAgreementApiService.java"	"32"	"33"	"first-party/Grindr"	"high"
"DELETE"	"/v1/opt-in"	"com.grindrapp.android.legalcompliance.consent.data.datasource.remote.api.ConsentAgreementApiService"	"sources/com/grindrapp/android/legalcompliance/consent/data/datasource/remote/api/ConsentAgreementApiService.java"	"35"	"36"	"first-party/Grindr"	"high"
"PUT"	"v3/me/legal-agreements"	"com.grindrapp.android.legalcompliance.data.api.LegalAgreementsRestService"	"sources/com/grindrapp/android/legalcompliance/data/api/LegalAgreementsRestService.java"	"24"	"25"	"first-party/Grindr"	"high"
"POST"	"v4/legal-agreements/top-picks"	"com.grindrapp.android.legalcompliance.data.api.LegalAgreementsRestService"	"sources/com/grindrapp/android/legalcompliance/data/api/LegalAgreementsRestService.java"	"27"	"28"	"first-party/Grindr"	"high"
"POST"	"v5/legal-agreements/vip-matchmaker"	"com.grindrapp.android.legalcompliance.data.api.LegalAgreementsRestService"	"sources/com/grindrapp/android/legalcompliance/data/api/LegalAgreementsRestService.java"	"30"	"31"	"first-party/Grindr"	"high"
"DELETE"	"v5/legal-agreements/top-picks"	"com.grindrapp.android.legalcompliance.data.api.LegalAgreementsRestService"	"sources/com/grindrapp/android/legalcompliance/data/api/LegalAgreementsRestService.java"	"33"	"34"	"first-party/Grindr"	"high"
"DELETE"	"v5/legal-agreements/vip-matchmaker"	"com.grindrapp.android.legalcompliance.data.api.LegalAgreementsRestService"	"sources/com/grindrapp/android/legalcompliance/data/api/LegalAgreementsRestService.java"	"36"	"37"	"first-party/Grindr"	"high"
"GET"	"v3/me/legal-agreements"	"com.grindrapp.android.legalcompliance.data.api.LegalAgreementsRestService"	"sources/com/grindrapp/android/legalcompliance/data/api/LegalAgreementsRestService.java"	"39"	"40"	"first-party/Grindr"	"high"
"GET"	"v3/legal-agreements"	"com.grindrapp.android.legalcompliance.data.api.LegalAgreementsRestService"	"sources/com/grindrapp/android/legalcompliance/data/api/LegalAgreementsRestService.java"	"42"	"43"	"first-party/Grindr"	"high"
"GET"	"v5/legal-agreements/top-picks"	"com.grindrapp.android.legalcompliance.data.api.LegalAgreementsRestService"	"sources/com/grindrapp/android/legalcompliance/data/api/LegalAgreementsRestService.java"	"45"	"46"	"first-party/Grindr"	"high"
"GET"	"v5/legal-agreements/vip-matchmaker"	"com.grindrapp.android.legalcompliance.data.api.LegalAgreementsRestService"	"sources/com/grindrapp/android/legalcompliance/data/api/LegalAgreementsRestService.java"	"48"	"49"	"first-party/Grindr"	"high"
"GET"	"/v1/location/neighborhood/{geohash}"	"com.grindrapp.android.location.data.api.LocationService"	"sources/com/grindrapp/android/location/data/api/LocationService.java"	"18"	"19"	"first-party/Grindr"	"high"
"PUT"	"v4/location"	"com.grindrapp.android.location.data.api.LocationService"	"sources/com/grindrapp/android/location/data/api/LocationService.java"	"21"	"22"	"first-party/Grindr"	"high"
"DELETE"	"v4/chat/media/drawer/{mediaId}"	"com.grindrapp.android.mediadrawer.api.MediaDrawerRestService"	"sources/com/grindrapp/android/mediadrawer/api/MediaDrawerRestService.java"	"25"	"26"	"first-party/Grindr"	"high"
"GET"	"v4/chat/media/drawer/{conversationId}"	"com.grindrapp.android.mediadrawer.api.MediaDrawerRestService"	"sources/com/grindrapp/android/mediadrawer/api/MediaDrawerRestService.java"	"28"	"29"	"first-party/Grindr"	"high"
"GET"	"v4/chat/media/drawer"	"com.grindrapp.android.mediadrawer.api.MediaDrawerRestService"	"sources/com/grindrapp/android/mediadrawer/api/MediaDrawerRestService.java"	"31"	"32"	"first-party/Grindr"	"high"
"PUT"	"v4/chat/media/drawer/{mediaId}"	"com.grindrapp.android.mediadrawer.api.MediaDrawerRestService"	"sources/com/grindrapp/android/mediadrawer/api/MediaDrawerRestService.java"	"34"	"35"	"first-party/Grindr"	"high"
"POST"	"v4/chat/media/upload"	"com.grindrapp.android.mediadrawer.api.MediaDrawerRestService"	"sources/com/grindrapp/android/mediadrawer/api/MediaDrawerRestService.java"	"37"	"38"	"first-party/Grindr"	"high"
"POST"	"v5/chat/media/upload"	"com.grindrapp.android.mediadrawer.api.MediaDrawerRestService"	"sources/com/grindrapp/android/mediadrawer/api/MediaDrawerRestService.java"	"40"	"41"	"first-party/Grindr"	"high"
"POST"	"v6/chat/media/upload"	"com.grindrapp.android.mediadrawer.api.MediaDrawerRestService"	"sources/com/grindrapp/android/mediadrawer/api/MediaDrawerRestService.java"	"43"	"44"	"first-party/Grindr"	"high"
"GET"	"/v1/roam"	"com.grindrapp.android.micros.roam.RoamRestService"	"sources/com/grindrapp/android/micros/roam/RoamRestService.java"	"19"	"20"	"first-party/Grindr"	"high"
"PUT"	"v1/roam/arrival/{days}"	"com.grindrapp.android.micros.roam.RoamRestService"	"sources/com/grindrapp/android/micros/roam/RoamRestService.java"	"22"	"23"	"first-party/Grindr"	"high"
"PUT"	"/v1/roam/status/{location}"	"com.grindrapp.android.micros.roam.RoamRestService"	"sources/com/grindrapp/android/micros/roam/RoamRestService.java"	"25"	"26"	"first-party/Grindr"	"high"
"PUT"	"/v1/roam/location"	"com.grindrapp.android.micros.roam.RoamRestService"	"sources/com/grindrapp/android/micros/roam/RoamRestService.java"	"28"	"29"	"first-party/Grindr"	"high"
"POST"	"/v2/offers"	"com.grindrapp.android.offers.OffersService"	"sources/com/grindrapp/android/offers/OffersService.java"	"20"	"21"	"first-party/Grindr"	"high"
"GET"	"v2/offers/eligible"	"com.grindrapp.android.offers.OffersService"	"sources/com/grindrapp/android/offers/OffersService.java"	"23"	"24"	"first-party/Grindr"	"high"
"GET"	"/v2/offers"	"com.grindrapp.android.offers.OffersService"	"sources/com/grindrapp/android/offers/OffersService.java"	"26"	"27"	"first-party/Grindr"	"high"
"GET"	"/v3/available-offers"	"com.grindrapp.android.offers.OffersService"	"sources/com/grindrapp/android/offers/OffersService.java"	"29"	"30"	"first-party/Grindr"	"high"
"POST"	"/v3/offers/events"	"com.grindrapp.android.offers.OffersService"	"sources/com/grindrapp/android/offers/OffersService.java"	"32"	"33"	"first-party/Grindr"	"high"
"GET"	"v3.1/flags/{id}"	"com.grindrapp.android.p089ui.report.data.remote.api.ReportApiService"	"sources/com/grindrapp/android/p089ui/report/data/remote/api/ReportApiService.java"	"20"	"21"	"first-party/Grindr"	"high"
"GET"	"v4/flags/{id}"	"com.grindrapp.android.p089ui.report.data.remote.api.ReportApiService"	"sources/com/grindrapp/android/p089ui/report/data/remote/api/ReportApiService.java"	"23"	"24"	"first-party/Grindr"	"high"
"GET"	"/v1/flags/right-now/{postId}"	"com.grindrapp.android.p089ui.report.data.remote.api.ReportApiService"	"sources/com/grindrapp/android/p089ui/report/data/remote/api/ReportApiService.java"	"26"	"27"	"first-party/Grindr"	"high"
"POST"	"v3.1/flags/{id}"	"com.grindrapp.android.p089ui.report.data.remote.api.ReportApiService"	"sources/com/grindrapp/android/p089ui/report/data/remote/api/ReportApiService.java"	"29"	"30"	"first-party/Grindr"	"high"
"POST"	"v5/flags/{id}"	"com.grindrapp.android.p089ui.report.data.remote.api.ReportApiService"	"sources/com/grindrapp/android/p089ui/report/data/remote/api/ReportApiService.java"	"32"	"33"	"first-party/Grindr"	"high"
"POST"	"/v1/flags/right-now/{postId}"	"com.grindrapp.android.p089ui.report.data.remote.api.ReportApiService"	"sources/com/grindrapp/android/p089ui/report/data/remote/api/ReportApiService.java"	"35"	"36"	"first-party/Grindr"	"high"
"GET"	"/v3/assignment"	"com.grindrapp.android.platform.featureflags.data.service.GrindrAssignmentsService"	"sources/com/grindrapp/android/platform/featureflags/data/service/GrindrAssignmentsService.java"	"19"	"20"	"first-party/Grindr"	"high"
"GET"	"/public/v1/assignments"	"com.grindrapp.android.platform.featureflags.data.service.GrindrAssignmentsService"	"sources/com/grindrapp/android/platform/featureflags/data/service/GrindrAssignmentsService.java"	"23"	"24"	"first-party/Grindr"	"high"
"POST"	"/v2/bulk-exposure"	"com.grindrapp.android.platform.featureflags.data.service.GrindrAssignmentsService"	"sources/com/grindrapp/android/platform/featureflags/data/service/GrindrAssignmentsService.java"	"26"	"27"	"first-party/Grindr"	"high"
"POST"	"v4/recognition/face"	"com.grindrapp.android.platform.media.facedetect.data.api.FaceDetectApiService"	"sources/com/grindrapp/android/platform/media/facedetect/data/api/FaceDetectApiService.java"	"15"	"16"	"first-party/Grindr"	"high"
"POST"	"v1/modal/{modalName}"	"com.grindrapp.android.popup.data.datasource.api.service.PopupModalService"	"sources/com/grindrapp/android/popup/data/datasource/api/service/PopupModalService.java"	"16"	"17"	"first-party/Grindr"	"high"
"GET"	"v1/modal"	"com.grindrapp.android.popup.data.datasource.api.service.PopupModalService"	"sources/com/grindrapp/android/popup/data/datasource/api/service/PopupModalService.java"	"19"	"20"	"first-party/Grindr"	"high"
"POST"	"v3/me/blocks/{profileId}"	"com.grindrapp.android.profile.data.datasource.api.service.BlockRestService"	"sources/com/grindrapp/android/profile/data/datasource/api/service/BlockRestService.java"	"19"	"20"	"first-party/Grindr"	"high"
"GET"	"v3.1/me/blocks"	"com.grindrapp.android.profile.data.datasource.api.service.BlockRestService"	"sources/com/grindrapp/android/profile/data/datasource/api/service/BlockRestService.java"	"22"	"23"	"first-party/Grindr"	"high"
"GET"	"v4/me/blocks"	"com.grindrapp.android.profile.data.datasource.api.service.BlockRestService"	"sources/com/grindrapp/android/profile/data/datasource/api/service/BlockRestService.java"	"25"	"26"	"first-party/Grindr"	"high"
"DELETE"	"v3/me/blocks"	"com.grindrapp.android.profile.data.datasource.api.service.BlockRestService"	"sources/com/grindrapp/android/profile/data/datasource/api/service/BlockRestService.java"	"28"	"29"	"first-party/Grindr"	"high"
"DELETE"	"v3/me/blocks/{targetProfileId}"	"com.grindrapp.android.profile.data.datasource.api.service.BlockRestService"	"sources/com/grindrapp/android/profile/data/datasource/api/service/BlockRestService.java"	"31"	"32"	"first-party/Grindr"	"high"
"GET"	"v1/hides"	"com.grindrapp.android.profile.data.datasource.api.service.HiddenProfilesRestService"	"sources/com/grindrapp/android/profile/data/datasource/api/service/HiddenProfilesRestService.java"	"18"	"19"	"first-party/Grindr"	"high"
"POST"	"v1/me/hides/{profileId}"	"com.grindrapp.android.profile.data.datasource.api.service.HiddenProfilesRestService"	"sources/com/grindrapp/android/profile/data/datasource/api/service/HiddenProfilesRestService.java"	"21"	"22"	"first-party/Grindr"	"high"
